sep=; 
"codigo_comuna";"nombre_comuna"
"01107";"Alto Hospicio"
"02101";"Antofagasta"
"02103";"Sierra Gorda"
"02201";"Calama"
"02301";"Tocopilla"
"03101";"Copiapo"
"03304";"Huasco"
"04102";"Coquimbo"
"05101";"Valparaiso"
"05103";"Concon"
"05105";"Puchuncavi"
"05107";"Quintero"
"05109";"Vina del Mar"
"05801";"Quilpue"
"06101";"Rancagua"
"06115";"Rengo"
"06301";"San Fernando"
"07101";"Talca"
"07301";"Curico"
"07401";"Linares"
"08101";"Concepcion"
"08102";"Coronel"
"08103";"Chiguayante"
"08105";"Hualqui"
"08110";"Talcahuano"
"08111";"Tome"
"08112";"Hualpen"
"08205";"Curanilahue"
"08301";"Los Angeles"
"08304";"Laja"
"08306";"Nacimiento"
"09101";"Temuco"
"09112";"Padre las Casas"
"10101";"Puerto Montt"
"10301";"Osorno"
"11101";"Coihaique"
"11201";"Aisen"
"12101";"Punta Arenas"
"13101";"Santiago"
"13102";"Cerrillos"
"13103";"Cerro Navia"
"13105";"El Bosque"
"13108";"Independencia"
"13110";"La Florida"
"13114";"Las Condes"
"13124";"Pudahuel"
"13125";"Quilicura"
"13201";"Puente Alto"
"13601";"Talagante"
"14101";"Valdivia"
"14201";"La Union"
"15101";"Arica"
"16101";"Chillan"
