sep=; 
"codigo_nacional";"nombre";"site";"propietario";"latitud";"longitud";"altura_metros";"codigo_OMM";"codigo_OACI";"obs_meteorologicas";"region_meteo";"comuna";"provincia";"region"
170001;"Visviri Tenencia";"Visviri Tenencia";"Dirección Meteorológica de Chile";-17.595;-69.4775;4084;85403;NA;374451;"Región de Arica y Parinacota";"General Lagos";"Parinacota";"XV"
170002;"Villa Industrial retén";"Villa Industrial retén";"Dirección Meteorológica de Chile";-17.78139;-69.70806;4070;NA;NA;3379;"Región de Arica y Parinacota";"General Lagos";"Parinacota";"XV"
170003;"Alcerreca retén";"Alcerreca retén";"Dirección Meteorológica de Chile";-17.9925;-69.66056;3930;NA;NA;14696;"Región de Arica y Parinacota";"General Lagos";"Parinacota";"XV"
170004;"Tacora retén";"Tacora retén";"Dirección Meteorológica de Chile";-17.77194;-69.72444;4091;NA;NA;2921;"Región de Arica y Parinacota";"General Lagos";"Parinacota";"XV"
170007;"Visviri INIA";"Visviri INIA";"Instituto de Investigación Agropecuaria";-17.59472;-69.47528;4122;NA;NA;54234;"Región de Arica y Parinacota";"General Lagos";"Parinacota";"XV"
180001;"Caquena retén";"Caquena retén";"Dirección Meteorológica de Chile";-18.05444;-69.20139;4399;NA;NA;12206;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180002;"Puquios retén";"Puquios retén";"Dirección Meteorológica de Chile";-18.17583;-69.74667;3744;NA;NA;4351;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180003;"Putre tenencia";"Putre tenencia";"Dirección Meteorológica de Chile";-18.195;-69.55917;3563;NA;NA;10166;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180004;"Chungará retén";"Chungará retén";"Dirección Meteorológica de Chile";-18.28167;-69.13833;4572;NA;NA;1966;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180005;"Chacalluta, Arica Ap.";"Chacalluta, Arica Ap.";"Dirección Meteorológica de Chile";-18.35555;-70.34028;50;85406;NA;650675;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180006;"Chapiquiña retén";"Chapiquiña retén";"Dirección Meteorológica de Chile";-18.395;-69.53611;3390;NA;NA;13909;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180007;"Belén retén";"Belén retén";"Dirección Meteorológica de Chile";-18.46778;-69.515;3271;NA;NA;2007;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180008;"Guallatire retén";"Guallatire retén";"Dirección Meteorológica de Chile";-18.49722;-69.15417;4251;NA;NA;13299;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180009;"Chucuyo retén";"Chucuyo retén";"Dirección Meteorológica de Chile";-18.21833;-69.32083;4402;NA;NA;17115;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180010;"Chilcaya retén";"Chilcaya retén";"Dirección Meteorológica de Chile";-18.79389;-69.08444;4279;NA;NA;17541;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180011;"Codpa retén";"Codpa retén";"Dirección Meteorológica de Chile";-18.83305;-69.74444;1866;NA;NA;17168;"Región de Arica y Parinacota";"Camarones";"Arica";"XV"
180012;"Parinacota";"Parinacota";"Dirección Meteorológica de Chile";-18.20194;-69.26805;4429;NA;NA;4387;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180013;"El Buitre Arica Ad.";"El Buitre Arica Ad.";"Dirección Meteorológica de Chile";-18.50861;-70.28722;107;NA;NA;10951;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180016;"Arica (Universidad de Tarapacá - Radiación UV)";"Arica (Universidad de Tarapacá - Radiación UV)";"Dirección Meteorológica de Chile";-18.47111;-70.31222;23;NA;NA;632091;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180017;"Putre";"Putre";"Dirección Meteorológica de Chile";-18.2;-69.5625;3532;85405;NA;260175;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180018;"Defensa Civil, Arica";"Defensa Civil, Arica";"Dirección Meteorológica de Chile";-18.49111;-70.30139;71;85407;NA;175251;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
180029;"Putre INIA";"Putre INIA";"Instituto de Investigación Agropecuaria";-18.19694;-69.55389;3577;NA;NA;54367;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180030;"Socoroma";"Socoroma";"Instituto de Investigación Agropecuaria";-18.26389;-69.60778;3077;NA;NA;50361;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180031;"Lago Chungará";"Lago Chungará";"Instituto de Investigación Agropecuaria";-18.28083;-69.13805;4570;NA;NA;54288;"Región de Arica y Parinacota";"Putre";"Parinacota";"XV"
180033;"Lluta Bajo";"Lluta Bajo";"Instituto de Investigación Agropecuaria";-18.41361;-70.20611;0;NA;NA;54304;"Región de Arica y Parinacota";"Arica";"Arica";"XV"
