sep=; 
"codigo_comuna";"poblacion";"15-44";"45-64";"65+";"mujer";"nombre_comuna";"codigo_provincia";"nombre_provincia";"codigo_region";"nombre_region";"region";"superficie";"perimetro";"casos_fallecidos";"tasa_mortalidad";"mp25";"casos_confirmados";"tasa_contagios";"dias_primerContagio";"hr_summer";"hr_winter";"tmed_summer";"tmed_winter";"ingresoTotal_media";"ingresoTotal_mediana";"ingresoAutonomo_media";"ingresoAutonomo_mediana";"perc_ocupado";"perc_menor_media";"perc_isapre";"perc_puebloOrig";"viviendas";"perc_rural";"perc_material_irrecuperable";"pcr_region";"consumo_lena_m3";"penetracion_lena";"defunciones";"tasa_mortalidad_all";"tasa_camas";"dias_cuarentena";"densidad_pob"
"01101";191468;0.471170117199741;0.224246349259406;0.0926003300812668;0.504371487663735;"Iquique";"011";"Iquique";"01";"Tarapaca";"I";2288634893.8759;374579.809501847;94;42.0651293502727;NA;4404;1970.79606019789;116;62.8891966759003;69.8599455040872;22.118836565097;15.979347826087;489111.802247231;350000;529467.951382437;380000;0.573771306465239;0.309343182271911;0.147467516156288;0.17081183278668;66986;0.0125504000668519;0.0148986355357836;33827;3732.90423811797;0.0564520133061914;1211;632.481667954959;265.318486640065;70;8.36603516412096e-05
"01107";108375;0.4880184544406;0.186251441753172;0.0425928489042676;0.499829296424452;"Alto Hospicio";"011";"Iquique";"01";"Tarapaca";"I";574120502.043465;101901.048786893;39;30.0002307710059;11.5892081390297;2371;1823.86018353987;109;NA;NA;NA;NA;341771.582782774;3e+05;410591.611502389;345000;0.550503762982011;0.435965641451926;0.0730366254770874;0.295049596309112;33178;0.0229850057670127;0.0577491108565917;33827;2112.90396727409;0.0564520133061914;122;112.572087658593;14.7635524798155;70;0.000188766991623294
"01401";15711;0.495385398765196;0.202342307937114;0.0719241295907326;0.427980395900961;"Pozo Almonte";"014";"Tamarugal";"01";"Tarapaca";"I";13778622109.4228;713804.149639632;9;51.7390054613395;NA;581;3340.04024144869;102;NA;NA;NA;NA;440220.854145754;3e+05;508168.246796393;321145.833333333;0.538547130821809;0.46120864476505;0.143775569842198;0.418432945070333;8926;0.357456559098721;0.0338337441183061;33827;306.305275477215;0.0564520133061914;15;95.4745083062822;NA;42;1.1402446395025e-06
"01402";1250;0.3856;0.2376;0.1568;0.4744;"Camina";"014";"Tamarugal";"01";"Tarapaca";"I";2201105726.60962;226991.832792962;2;145.454545454545;NA;43;3127.27272727273;56;NA;NA;NA;NA;314306.012323944;248181.818181818;351560.154488518;250000;0.753048780487805;0.594951923076923;0;0.8568;1092;1;0.0183150183150183;33827;24.3702879731729;0.0564520133061914;2;160;NA;NA;5.67896391749153e-07
"01403";1728;0.506365740740741;0.226851851851852;0.120949074074074;0.424189814814815;"Colchane";"014";"Tamarugal";"01";"Tarapaca";"I";4010625092.15683;329025.543788866;2;126.342387871131;NA;86;5432.72267845862;56;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.806712962962963;2030;1;0.0866995073891626;33827;33.6894860941142;0.0564520133061914;4;231.481481481481;NA;NA;4.30855530071678e-07
"01404";2730;0.386080586080586;0.244688644688645;0.141758241758242;0.45018315018315;"Huara";"014";"Tamarugal";"01";"Tarapaca";"I";10477777730.0034;635687.526696882;4;133.333333333333;NA;132;4400;81;NA;NA;NA;NA;380284.958651685;236769.16;425620.989735278;290439.613636364;0.564329738058552;0.545298165137615;0.026674398376341;0.6;2871;0.593772893772894;0.0567746429815395;33827;53.2247089334095;0.0564520133061914;10;366.300366300366;NA;NA;2.6055143278928e-07
"01405";9296;0.544535283993115;0.25473321858864;0.0756239242685026;0.29539586919105;"Pica";"014";"Tamarugal";"01";"Tarapaca";"I";8990902316.40591;638854.975296333;1;16.7841557569654;NA;196;3289.69452836522;105;NA;NA;NA;NA;435313.307773294;3e+05;477685.791538994;350000;0.559850821200602;0.343682220982834;0.0372061454926883;0.358003442340792;2726;0.579173838209983;0.0282465150403522;33827;181.236957598892;0.0564520133061914;13;139.845094664372;NA;NA;1.0339340449776e-06
"02101";361873;0.493396854697643;0.217012598342512;0.0788536309699812;0.497486687318479;"Antofagasta";"021";"Antofagasta";"02";"Antofagasta";"II";30710715021.2411;1085664.21940036;111;26.0731692994304;9.71576735769501;6743;1583.88631158612;116;69.9465373961219;73.4815217391304;20.090027700831;14.0589673913043;592141.970412885;383680.346666667;664882.756229776;419857.594936709;0.524646824042224;0.309508390365715;0.252124207425119;0.073373807938144;112451;0.0214688578589726;0.0155534410543259;46749;7055.15937577279;0.0564520133061914;2194;606.29005203483;247.600677585783;80;1.17832814947392e-05
"02102";13467;0.500482661320264;0.247345362738546;0.0562857355015965;0.403356352565531;"Mejillones";"021";"Antofagasta";"02";"Antofagasta";"II";3570429357.74773;330803.315823968;4;27.0709258256632;NA;451;3052.24688684353;105;NA;NA;NA;NA;400685.568627451;346887.275;422885.017090207;398963.815789474;0.592229976044162;0.342651962041549;0.153723262625366;0.0876958491126457;4216;0.0380931165070172;0.019449715370019;46749;262.555734507775;0.0564520133061914;25;185.638969332442;74.2555877329769;80;3.77181527783963e-06
"02103";10186;0.67779304928333;0.278421362654624;0.0123699194973493;0.149617121539368;"Sierra Gorda";"021";"Antofagasta";"02";"Antofagasta";"II";12890754540.8714;533791.408523378;0;0;9.5130814296578;60;3436.42611683849;77;NA;NA;NA;NA;422115.689783743;363978.706896552;483998.297909408;389137.931034483;0.646803227808814;0.397527341892534;0.106758080313418;0.135676418613784;570;1;0.0263157894736842;46749;198.588602635791;0.0564520133061914;NA;NA;NA;NA;7.90178725977934e-07
